,Date,Open,High,Low,Close,Volume,Name,Pct Returns
218,1/6/2023,142.38,144.25,141.58,143.7,3574042,IBM,0.104493208
219,1/5/2023,142.44,142.498,140.01,141.11,2866648,IBM,-1.80236604
220,1/4/2023,142.07,143.615,141.3675,142.6,3869236,IBM,1.055913826
221,1/3/2023,141.1,141.9,140.48,141.55,3338829,IBM,-0.736325386
222,12/30/2022,140.54,140.9,139.45,140.89,2858110,IBM,-0.466266337
223,12/29/2022,140.58,142.26,140.45,141.06,2337207,IBM,0.120661509
224,12/28/2022,142.4,142.81,139.95,140.02,2539577,IBM,-0.737274918
225,12/27/2022,141.73,142.72,141.23,142.42,2742525,IBM,1.714040851
226,12/23/2022,140.59,141.8565,139.6,141.65,2092715,IBM,-0.540654402
227,12/22/2022,140.95,141.44,138.62,140.88,3337851,IBM,-0.543593364
228,12/21/2022,141.84,143.09,140.975,142.14,3793700,IBM,0.894378194
229,12/20/2022,138.84,141.425,138.34,141.28,5156450,IBM,-0.605037287
230,12/19/2022,140.16,140.44,137.195,138.87,5282860,IBM,-1.70583239
231,12/16/2022,141.25,141.915,138.97,140.16,9834427,IBM,0.928926334
232,12/15/2022,148.52,148.98,141.58,142.36,6687744,IBM,1.569634703
233,12/14/2022,150.47,151.91,148.45,149.86,4205878,IBM,5.268333802
234,12/13/2022,150.37,153.21,149.95,150.57,8811553,IBM,0.473775524
235,12/12/2022,147.82,149.21,146.9426,149.21,4032780,IBM,-0.903234376
236,12/9/2022,147.4,148.34,146.97,147.05,3047581,IBM,-1.447624154
237,12/8/2022,147.9,149.153,147.365,147.78,2665687,IBM,0.496429786
238,12/7/2022,147.33,148.105,146.29,147.27,3971285,IBM,-0.345107592
239,12/6/2022,147.3,147.8,146.7,147.5,2847610,IBM,0.156175732
240,12/5/2022,147.94,148.93,146.8,147.41,2784767,IBM,-0.061016949
241,12/2/2022,148.13,149.16,147.73,148.67,2899995,IBM,0.854758836
242,12/1/2022,149.98,150.01,147.34,149.16,4495924,IBM,0.329589023
243,11/30/2022,146.19,149.64,145.67,148.9,6377582,IBM,-0.174309466
244,11/29/2022,145.91,147.1668,145.7,146.49,2754744,IBM,-1.61853593
245,11/28/2022,147.98,148.24,145.935,146.18,3538696,IBM,-0.211618541
246,11/25/2022,148.27,149.49,148.101,148.37,2075156,IBM,1.498152962
247,11/23/2022,149.1,150.46,148.3,148.75,3658459,IBM,0.256116466
248,11/22/2022,147.6,149.35,147.02,149.1,7062060,IBM,0.235294118
249,11/21/2022,147.55,147.928,146.45,146.68,3476208,IBM,-1.623071764
250,11/18/2022,146.56,148.31,145.94,147.64,4661735,IBM,0.654485956
251,11/17/2022,143.41,146.18,143.25,146.09,3955162,IBM,-1.049850989
252,11/16/2022,144.13,144.95,144.0081,144.52,3445302,IBM,-1.074679992
253,11/15/2022,144.08,146.1609,142,144.34,4727107,IBM,-0.124550235
254,11/14/2022,142.63,146.08,142.18,144.2,5245624,IBM,-0.09699321
255,11/11/2022,141.5,144.13,140.96,143.17,5871264,IBM,-0.714285714
256,11/10/2022,140.26,141.37,138.29,141.23,5389025,IBM,-1.355032479
257,11/9/2022,137.95,138.9,136.94,137.39,4720007,IBM,-2.718969058
